id,name,text,trans
6901001090010,はづき,"プロデューサーさん！
『W.I.N.G.』優勝、本当におめでとうございます！","프로듀서님!
『W.I.N.G.』우승, 정말로 축하드려요!"
6901001090020,はづき,"私も会場で見てたんですけど、
発表の瞬間、思わず大声を出しちゃいましたよ！","저도 회장에서 보고 있었지만,
발표 하는 순간, 저도 모르게 소리 질렀어요!"
6901001090030,はづき,"今もまだ興奮しちゃってて、
今日はもう眠れそうにありません！","지금도 아직 흥분되어버려서
오늘은 이제 잠들 것 같지 않아요!"
0000000000000,プロデューサー,ありがとうございます、はづきさん！,고마워요、하즈키씨!
6902001090010,社長,"本当によくやった
期待以上の結果を出してくれたな","정말 잘 했다
기대 이상의 결과를 보여줬구나"
0000000000000,プロデューサー,社長も……ありがとうございます！,사장님도......감사합니다!
6901001090040,はづき,"ふふ。私と社長も会場に来てましたけど、
すごかったですよ","후후. 저랑 사장님도 회장에 같이 왔는데,
굉장했어요 "
6901001090050,はづき,"優勝したってわかった瞬間、社長が泣いてしまって……
ステージをほとんど見れていませんでしたから","우승했다는 걸 안 순간, 사장님이 울기 시작하셔서......
스테이지를 거의 보질 못하셧으니까"
6902001090020,社長,"こ、こら！
彼の前でそういうことを言うな！","ㅇ,야!
이 친구 앞에서 그 말 하지 말랬지!"
6901001090060,はづき,"それだけ優勝したのを
喜んでたってことじゃないですか","그만큼 우승한 걸
기뻐 하셨다는 거잖아요"
6902001090030,社長,そ、それはそうだが……,"그, 그건 그렇지만......"
0000000000000,プロデューサー,社長、本当にありがとうございます！,"사장님, 정말로 감사합니다!"
6902001090040,社長,"……とにかく。もっと礼を言うべき相手、
いや、祝うべき相手がいるんじゃないか","......어쨌든. 더욱 감사를 표해야 할 사람,
아니, 축하 할 사람이 있지 않나"
0000000000000,プロデューサー,"……そうですね
今日の主役は、他でもない彼女ですから","......그렇네요
오늘의 주역은, 그 누구도 아닌 그녀니까요"
6902001090050,社長,"なら、私たちのことは気にせず
早く行ってこい","그렇다면, 우리들은 신경 쓰지 말고,
빨리 다녀오게"
6901001090070,はづき,"彼女のこと、いっぱい
褒めてあげてくださいねー！","그녀에 대한 거, 잔뜩
칭찬해 주세요ー!"
0000000000000,プロデューサー,はい！　もちろんです！,네! 당연하죠!
6018001090010,冬優子,"…………
はぁ……","............
하아......."
0000000000000,プロデューサー,冬優子、何してるんだ？,"후유코, 뭐하고 있어?"
6018001090020,冬優子,ひゃっ！？,햣!?
0000000000000,プロデューサー,どうしたんだ、そんなに驚いて,"왜 그래, 그렇게 놀라고"
6018001090030,冬優子,"な、なんでもないけど？
ちょっと風に当たりたかっただけ……","아, 아무것도 아닌데?
조금 바람을 쐬고 싶었을 뿐이야......"
0000000000000,プロデューサー,"そうか……？　ずっと外にいると体を冷やすぞ？
じゃあ、俺は戻って──","그래......? 계속 밖에 있으면 몸이 차가워진다?
그럼, 나는 돌아ㄱ"
6018001090040,冬優子,え！？　ちょ、待ちなさいよ！,"어!? 잠ㄲ, 기다려보라고!"
0000000000000,プロデューサー,ど、どうした……！？,"왜, 왜그래......!?"
