id,name,text,trans
1014001000310010,甘奈,そろそろこのネイル、変えよっかなー,"슬슬 이 네일도, 바꿔야할까―"
0000000000000,プロデューサー,何やってるんだ、甘奈？,"뭐하고 있니, 아마나?"
1014001000310020,甘奈,"次のネイルはどんなのにしようかなーって考えてたの
プロデューサーさんは、どんなのがいいと思うかな？","다음 네일은 어떤걸로 할까 ―라고 생각하고 있었어
프로듀서님은, 어떤게 좋을거 같아?"
0000000000000,プロデューサー,（甘奈に似合うネイルか……）,(아마나에게 어울리는 네일이라......)
select,,シンプルに行こう,심플하게 해봐
select,,流行りに合わせよう,유행에 맞춰보자
select,,派手なのがいい,화려한게 좋지
1014001000310030,甘奈,"そーだよね！
シンプルって、大人っぽくていいと思うんだー☆","그렇네―!
심플한건, 어른스러워서 좋을거 같아―☆"
1014001000310040,甘奈,"さっすが、プロデューサーさん！
わかってる☆","역시, 프로듀서님!
잘 안다니까☆"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 얘기한거 같다)"
1014001000310050,甘奈,"流行りかー
最近はナチュラルカラーがいいみたいなんだよねー！","유행이라~
최근에 내츄럴 컬러가 좋다고 하던데―!"
1014001000310060,甘奈,今度、雑誌でチェックしとこーっと,"이번에, 잡지에서 체크해봐야지"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(뭐어, 평범하게 얘기한거 같다)"
1014001000310070,甘奈,"んー……
派手なのも悪くないんだけど","웅―......
화려한것도 나쁘진 않긴 한데"
1014001000310080,甘奈,あんまりやりすぎるとケバくなるんだよねー,너무 그러면 떡화장 되어 버린다구―
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(윽...... 실수했다. 다른 얘기를 했다면 좋았을 걸......)
info,produce_communications/101400100031.json,
译者,,
