ja,zh
"プロデューサーさん、わ、わたし……！
もっと上手く歌えるように頑張りたいので……","프로듀서님 저, 저...!
노래를 더 잘 부를 수 있도록 열심히 하고 싶어서..."
"わぁ……すごい……
歌が上達した気がします……！","와... 굉장해...
노래 실력이 향상된 것 같아요...!"
"あ、いえ、このくらいできて当然ですけど……！
や、約束守ってくれて、あ、ありがとうございました……","아, 아뇨, 이 정도는 당연한 거지만요...!
야, 약속 지켜주셔서, 가, 감사합니다..."
"プロデューサーさん、あの……
ぼ、ボーカルレッスンは……","프로듀서님, 저기……
보, 보컬 레슨은……"
つ、次は頑張らせてくださいね……,"다, 다음엔 노력해서 잡아주세요……"
"ぴぇ……ご、ごめんなさい
あまり上手くできませんでした……","삐에……죄, 죄송해요
잘하지 못 했어요……"
つ、次は頑張ります……！,"다, 다음엔 열심히 할게요……!"
"プロデューサーさん、わ、わたし……！
もっと上手く踊れるように頑張りたいので……","프로듀서님 저, 저...!
춤을 더 잘 출 수 있도록 노력하고 싶어서..."
"わぁ……やった……
ダンスが上達した気がします……！","와... 해냈다...
댄스 실력이 향상된 것 같아요...!"
"あ、いえ、このくらい普通ですけど……！
や、約束守ってくれて、あ、ありがとうございました……","아, 아뇨, 이 정도는 당연한 거지만요...!
야, 약속 지켜주셔서, 가, 감사합니다..."
"プロデューサーさん、えっと……
だ、ダンスレッスンは……","프로듀서님, 저기...
대, 댄스 레슨은..."
や、やる気十分だったのに……,"의, 의욕만만이었는데..."
"プロデューサーさん、わ、わたし……！
もっと上手にお化粧できるように頑張りたいので……","프로듀서님, 저, 저...!
화장을 더 잘 할 수 있도록 노력하고 싶어서..."
"わぁ……えへへ……
お化粧が上達した気がします……！","와... 에헤헤...
화장을 더 잘 할 수 있게 된 거 같아요...!"
"あ、いえ、な、なんでもないです……！
や、約束守ってくれて、あ、ありがとうございました……","아, 아뇨, 아, 아무것도 아니에요...!
야, 약속 지켜줘서 가, 감사합니다..."
"プロデューサーさん、その……
び、ビジュアルレッスンは……","프로듀서님, 그...
비, 비쥬얼 레슨은..."
わ、わたしどうしたら……,"ㅈ, 제가 어떻게 해야..."
"あ、あの……
学校で課題がたくさん出たので……！","저, 저기……
학교에서 과제가 많이 나와서요……!"
課題も終わって、リフレッシュもできました……！,"과제도 끝내고, 리프레시도 했어요……!"
ま、また明日からレッスン頑張ります……！,"다, 다시 내일부터 레슨 열심히 할게요……!"
"あ、あれ……
お休み……だったような……","어, 어라……
휴식……이었던 것 같은데……"
か、課題……どうしよう……,"과, 과제……어떡하지……"
あ、ありがとうございます……！,"가, 감사합니다……!"
そ、そうですよね……！,"그, 그렇겠죠……!"
二週間後にボーカルレッスンがしたいです……！,2주 후에 보컬 레슨 하고 싶어요……!
一週間後にダンスレッスンしてもいいですか……！,일주일 뒤에 댄스 레슨을 하고 싶어요...!
一週間後、ビジュアルレッスン受けてもいいですか……！,일주일 뒤에 비주얼 레슨 받아도 될까요...!
一週間後にお休みをしてもいいですか……？,일주일 뒤에 휴식해도 괜찮을까요……!
なんか、上手くいかなくて,왠지 잘 안 돼서
──ごめんね,미안해
見てた？,봤어?
"ふふっ。ちょっとやれてたでしょ
レッスンのこと、ありがと","후훗. 좀 잘 했지
레슨, 고마워"
"あれ
ダンスレッスン、ないの？","어라
댄스 레슨, 없어?"
"……そっか
河原とか、行こうかな","그렇구나
강변이나 가볼까"
あー……,아ー……
ふふっ\nわりと楽しみにしてた,후훗\n비교적 기대하고 있었다
"家のこと
手伝わなきゃだったんだ","집안일
도와줘야 했거든"
"ありがと
布団、干せたよ","고마워,
이불, 다 널었어"
──あ、プロデューサーのせいじゃないよ,"아, 프로듀서 탓이 아니야"
"気にしないで
仕事だし","신경쓰지 마
일이잖아"
"──あ、プロデューサー
今日、声出てたでしょ","아, 프로듀서
오늘, 목소리 괜찮았지?"
"ありがと
レッスン入れてもらえてよかった","고마워
레슨 넣어줘서 다행이었어"
"…………
ボーカルレッスン、できないってことか","…………
보컬 레슨, 못 하는 거구나"
まぁいいや……,뭐 괜찮아……
"いつも
すぐ取りたくなっちゃうけど","항상
바로 내 것으로 만들고 싶어져"
──どう？　メイク,어때？ 메이크업
"──やっぱり、
ちょっとアレだったよね今日","역시, 
조금 그렇네 오늘"
