id,name,text,trans
3011007010010,智代子,みんなー！,얘들아!
3011007010020,樹里,おーチョコ、来たな,"오ー쵸코, 왔구나"
3011007010030,夏葉,これで全員揃ったわね,이걸로 전부 모였네
3011007010040,凛世,はい……,네……
3011007010050,智代子,待たせちゃってごめんね……！,기다리게 해버려서 미안해……!
3011007010060,果穂,そんなことありませんっ！,그렇지 않아요!
3011007010070,果穂,"おとまり会、とっても楽しみで……
早く着いちゃったんです！","합숙, 정말로 기대돼서……
빨리 와버렸어요!"
3011007010080,樹里,そーそー、アタシたちも今来たとこだしな,"그래 맞아, 우리들도 지금 막 왔고"
3011007010090,智代子,そっか、よかった……！,"그렇구나, 다행이다……!"
3011007010100,夏葉,"じゃあ、お泊まり会に備えて
買い出しをはじめましょうか","그럼, 합숙에 대비해서
장 보기를 시작해 볼까"
3011007010110,夏葉,"お菓子と飲み物……
あとは何が必要かしら？","과자랑 음료수……
그 외엔 뭐가 필요하려나?"
3011007010120,果穂,あっ！　おかしありますっ！,앗!　과자는 있어요!
3011007010130,果穂,"お母さんが、夏葉さんのおうちにどうぞって、
持たせてくれました……！","엄마가, 나츠하씨 집에 갈 때 가져가라고 하셔서, 
받아왔어요……!"
3011007010140,智代子,"私も！　こっちは夏葉ちゃんに渡す用で、
こっちはみんなで食べる用！","나도! 여기 이건 나츠하 쨩한테 줄 거고, 
이건 다 같이 먹을 거야!"
3011007010150,樹里,それならアタシたちも……,그런 건 우리들도……
3011007010160,凛世,"はい……
お土産が……","네……
선물이……"
3011007010170,夏葉,"あら、そうだったの？
みんなありがとう","어머, 그랬었니?
다들 고마워"
3011007010180,夏葉,"そういうことなら、
あまりお菓子は要らなそうね","그렇다면
과자는 더 필요 없어 보이네"
3011007010190,樹里,"あとは……みんなでできるゲームとか
あるといいんじゃねーか？","그 외엔……다 같이 할 수 있는 게임같은 게
있으면 좋지 않을까?"
3011007010200,智代子,"だよね……！　なんか……
お泊まり会が盛り上がるようなやつ、欲しいよね！","그렇지……!　뭔가……
합숙을 불타오르는 할만한 거, 필요하지!"
3011007010210,果穂,"わあっ……！
スッゴく楽しみです……！","와앗……!
어엄청 기대돼요……!"
3011007010220,樹里,"お菓子はそんな要らないみたいだし、
おやつ班２人で……","과자는 더 필요 없어 보이고, 
간식 조２명에……"
3011007010230,樹里,"それ以外の３人で、その盛り上がるようなやつ
探すことにするか！","나머지３명이서, 그 불타오르는 거
찾는 걸로 할까!"
3011007010240,果穂,はいっ！,네!
3011007010250,凛世,はい……,네……
3011007010260,智代子,"それじゃあ、グーとパーで
チーム分けしよっか！","그러면, 구랑 파로
팀을 나누기로 할까!"
3011007010270,夏葉,ええ、いいわ！,"응, 좋아!"
3011007010280,智代子,"じゃあいくよー！
みんな、手、出してー","그럼 간다!
다들 손 내밀고"
3011007010290,智代子,グッパージャス！　でいくからね,구 파저스!　할 거니까 말야
3011007010300,樹里,おー！,응!
3011007010310,果穂,わかりました！,알겠어요!
3011007010320,夏葉,…………ちょっと待って,…………잠깐 기다려
3011007010330,果穂,夏葉さん……？,나츠하 씨……?
3011007010340,夏葉,"ぐっぱーじゃす……って
何かしら？","구 파저스……는
뭐야?"
3011007010350,樹里,"や、だからグーとパーで分かれる時の
掛け声だろ","아니, 그러니까 구랑 파로 나눌 때
하는 구호잖아"
3011007010360,夏葉,……初めて聞いたわ,……처음 들어봐
3011007010370,果穂,えっ！,네!?
3011007010380,凛世,"はい……
凛世も……","네……
린제도……"
3011007010390,智代子,そうなの……！？,그런 거야……!?
3011007010400,樹里,……ふたりはなんて掛け声でやるんだ？,……둘은 구호를 뭐라고 하는데?
3011007010410,夏葉,グッとパーであーわせ！　よ！,구와 파로 나누자!　야!
3011007010420,凛世,グーとパーで分かれましょ……と……,구와 파로 나눠봅시다……라고……
3011007010430,果穂,そうなんですか……！,그런 건가요……!
3011007010440,樹里,"確かに、グッパーで分かれっこー……
とかもあるもんな","확실히, 구 파로 나뉘자……
같은 것도 있었지"
3011007010450,夏葉,……「ジャス」ってなんなのかしら,……「저스」라는 건 대체 뭘까
3011007010460,樹里,そこ、そんな気にするとこか！？,"그거, 그렇게 신경 쓸 일이냐!?"
3011007010470,果穂,夏葉さん夏葉さん！,나츠하 씨 나츠하 씨!
3011007010480,果穂,あたし、わかっちゃいました！,"저, 알았어요!"
3011007010490,果穂,"『ジャス』はきっと、
『ジャスティス』の『ジャス』です……！","『저스』는 분명, 
『저스티스』의 『저스』에요……!"
3011007010500,夏葉,……！,……!
3011007010510,夏葉,"なるほど、つまりこのチーム分けが
正々堂々、公正に行われているということね……！","그렇구나, 다시 말해 이 팀 나누기가
정정당당, 공정하게 진행 되고 있다는 거네……!"
3011007010520,樹里,別にこれ、勝負とかじゃねーけど……,"별로 이거, 승부 같은 게 아닌데……"
3011007010530,凛世,ふふ……,후후……
3011007010540,智代子,"よーし、解決したかな！？
そしたら気を取り直して、チーム分けいこう！","좋아, 해결된 거지!?
그러면 기세를 되돌려서, 팀을 나누자구!"
3011007010550,樹里,"おー！
じゃ、グッパージャス、な","오!
그럼, 구 파저스, 지"
3011007010560,智代子,うんっ！,응!
3011007010570,夏葉,いいわよ！,좋아!
3011007010580,樹里,いくぞー……,간다……
3011007010590,樹里,グッパー……,구 파……
3011007010591,一同,ジャス！！！！！,저스!!!!!
info,produce_events/301100701.json,
译者,,
